CityID;CityName;StateProvinceID;LatestRecordedPopulation;LastEditedBy;ValidFrom;ValidTo
258;Alabam;4;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
259;Alabama;33;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
260;Alabaster;23;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
261;Alabaster;1;30352;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
262;Alachua;10;9059;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
263;Aladdin;39;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
264;Aladdin;53;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
265;Alakanuk;2;677;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
266;Alamance;34;951;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
267;Alameda;5;73812;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
268;Alameda;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
269;Alamillo;32;102;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
270;Alamo;29;1080;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
271;Alamo;45;18353;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
272;Alamo;32;1085;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
273;Alamo;5;14570;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
274;Alamo;11;2797;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
275;Alamo;44;2461;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
276;Alamo;15;66;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
277;Alamo;35;57;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
278;Alamo Alto;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
279;Alamo Heights;45;7031;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
280;Alamo Oaks;5;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
281;Alamogordo;32;30403;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
282;Alamosa;6;8780;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
283;Alamota;17;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
284;Alanreed;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
285;Alanson;23;738;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
286;Alapaha;11;668;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
287;Alarka;34;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
288;Alatna;2;37;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
289;Alba;23;295;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
290;Alba;45;504;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
291;Alba;39;157;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
292;Alba;26;555;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
